,Activity Date,Activity ID,Activity Name,Activity Type,Elapsed Time,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2024-05-13,11622514395,Morning Row,Rowing,6689,183.0,111.0,6689.0,6689.0,183.0,139.7833709716797,65.8,54.0,75.9,0.0,240.0,9.8,1009.8
1,2024-06-10,11623158811,Afternoon Ride,Ride,6042,165.0,47.0,6042.0,5426.0,165.0,132.49362182617188,67.1,53.1,80.1,0.0,283.0,5.8,1014.1
2,2024-06-11,11626676905,Morning Row,Rowing,2250,181.0,18.0,2250.0,2250.0,181.0,126.61377716064452,70.2,57.9,82.0,0.0,228.0,11.1,1010.7
3,2024-06-11,11630662333,Afternoon Row,Rowing,4568,181.0,129.0,4568.0,4568.0,181.0,152.69046020507812,70.2,57.9,82.0,0.0,228.0,11.1,1010.7
4,2024-06-12,11634907537,Morning Row,Rowing,3713,138.0,12.0,3713.0,3682.0,138.0,112.80552673339844,61.7,50.0,73.9,0.0,247.0,6.8,1016.5
5,2024-06-13,11642920083,Evening Workout,Workout,1647,162.0,11.0,1647.0,1647.0,162.0,131.6982421875,66.6,46.9,82.0,0.0,7.0,2.2,1014.5
6,2024-06-12,11642920106,Afternoon Row,Rowing,872,160.0,16.0,872.0,872.0,160.0,145.55963134765625,61.7,50.0,73.9,0.0,247.0,6.8,1016.5
7,2024-06-13,11642933487,Morning Row,Rowing,2553,167.0,24.0,2553.0,2537.0,167.0,135.19912719726562,66.6,46.9,82.0,0.0,7.0,2.2,1014.5
8,2024-07-06,11825074114,Afternoon Weights,Workout,3600,,,3600.0,3600.0,,,77.2,62.1,91.9,0.0,0.0,4.1,1012.9
9,2024-07-06,11825468511,Afternoon Hike,Hike,4981,145.0,12.0,4981.0,3713.0,145.0,114.1265640258789,77.2,62.1,91.9,0.0,0.0,4.1,1012.9
10,2024-07-07,11833608973,Afternoon Erg + Bike :),Workout,4800,,,4800.0,4800.0,,,78.3,59.0,96.1,0.0,12.0,3.0,1013.8
11,2024-07-09,11842202825,Kickboxing!!,Workout,3690,176.0,88.0,3690.0,3690.0,176.0,152.5533905029297,83.8,63.0,100.9,0.0,12.0,2.2,1010.6
12,2024-07-02,11845852779,Morning Row,Rowing,2505,166.0,32.0,2505.0,2466.0,166.0,140.3528289794922,67.6,57.0,79.0,0.0,303.0,5.4,1015.6
13,2024-07-09,11845852786,Morning Row,Rowing,3003,173.0,35.0,3003.0,2987.0,173.0,134.57107543945312,83.8,63.0,100.9,0.0,12.0,2.2,1010.6
14,2024-06-19,11845854658,Morning Row,Rowing,477422,163.0,32.0,477422.0,2707.0,163.0,136.29574584960938,59.5,46.0,73.9,0.0,15.0,2.1,1017.8
15,2024-07-09,11850513297,Evening Stand Up Paddling,Stand Up Paddling,7809,,,7809.0,1871.0,,,83.8,63.0,100.9,0.0,12.0,2.2,1010.6
16,2024-07-10,11854064314,Morning Row,Rowing,3340,166.0,20.0,3340.0,3300.0,166.0,124.85831451416016,85.1,64.0,102.9,0.0,332.0,3.7,1010.1
